"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Tagliere in Legno 40 x 30 - Piatto da Bistecca - Tagliere per Servire Carne - Vassoio in Legno - Tagliere da Cucina - Accessori per Cucina Multiuso (XL) COG: 6 / Price: 35,99";"B09RX2WX88";"KB0003";"14";"1";"446,32";"";"-5,32";"-5,32";"";"";"";"";"";"7,14";"-";"-20,04";"-257,88";"-84";"-70,20";"-1,37";"7,51";"7,51";"155,71";"";"1,68";"8,94";"166 612";"1,19";"85";"16,47";"31,88"
"Northstar 0.6 Tazza Vichinga | Birra Viking | Regalo da Uomo per Natale | Boccale birra in legno vichingo | Regalo Uomo | Regalo Natale | Boccale vichingo | il Segno di Odino COG: 6,98 / Price: 35,8";"B0CP2KD382";"BMP0011";"13";"";"445,46";"";"";"";"";"";"";"";"";"";"-";"";"-187,36";"-90,74";"-80,38";"-3,30";"81,23";"81,23";"252,35";"";"18,24";"89,52";"27 649";"";"228";"5,70";"34,27"
"Northstar, Stazione di ricarica per telefono in legno di frassino, con funzione di organizer per tenere chiavi, portafoglio e orologi, da uomo, idea regalo per anniversari, compleanni, lauree COG: 6,36 / Price: 31,8";"B09PNKKS78";"PP0001GS";"12";"";"363,59";"";"-78,51";"-78,51";"";"";"";"";"";"";"-";"";"-152,03";"-76,31";"-65,52";"-3,32";"-12,10";"-12,10";"129,74";"";"-3,33";"-15,86";"130 612";"21,59";"392";"3,06";"30,30"
"Northstar Docking Station in legno per smartphone Supporto portafoglio Supporto orologio Regalo da uomo Marito Moglie Natale Regalo per papà Supporto da comodino Legno massello in frassino COG: 12,78 / Price: 32,8";"B07VC6GXYT";"SQ-H3G9-2L92";"11";"1";"332,79";"";"-6,78";"-6,78";"";"";"";"";"";"9,09";"";"-26,13";"-135,91";"-140,58";"-54,60";"-3,30";"-34,51";"-34,51";"160,67";"";"-10,37";"-24,55";"22 800";"2,04";"158";"6,96";"30,25"
"Northstar Boccale Birra Vichingo in Legno 0,6L - Tazza con Interno in Acciaio Inossidabile,Zampe Di Lupo Marrone regalo san valentino per lui e lei regalo di compleanno regalo per la festa del papà COG: 7,01 / Price: 36,8";"B0CN6XQ611";"BMP0009";"11";"1";"372,38";"";"-73,12";"-73,12";"";"";"";"";"";"9,09";"";"-26,55";"-130,71";"-77,11";"-64,88";"-3,30";"-5,76";"-5,76";"136,23";"";"-1,55";"-7,47";"27 649";"19,64";"429";"2,56";"33,85"
"Northstar Boccale Birra Vichingo in Legno 0,6L - Tazza con Interno in Acciaio Inossidabile Albero Della Vita Marrone regalo san valentino per lui e lei regalo di compleanno regalo per la festa del papà COG: 7,01 / Price: 36,8";"B0CP2C594Q";"BMP0010";"10";"";"334,08";"";"-32,64";"-32,64";"";"";"";"";"";"";"-";"";"-155,95";"-70,1";"-60,28";"";"15,11";"15,11";"145,49";"";"4,52";"21,55";"74 662";"9,77";"128";"7,81";"33,41"
"Northstar Espositori per montaggio a parete per montaggio a parete Rack per armi orizzontali e ganci per fucili Conservare qualsiasi fucile Fucile a pompa Legno duro COG: 4,48 / Price: 20,33";"B0B6WC5SST";"Y4-OT79-ACBA";"7";"";"173,2";"";"";"";"";"";"";"";"";"";"100";"4,48";"-77,02";"-31,36";"-30,89";"";"38,41";"38,41";"96,18";"";"22,18";"122,48";"12 893";"";"61";"11,48";"24,74"
"Northstar Docking station in legno per telefono con cassetto, organizer da comodino, organizer da scrivania per marito, regali di compleanno per uomo o papà, idea di COG: 9,51 / Price: 42,8";"B0DQQCZGLP";"PPD007";"7";"";"279,44";"";"-5,62";"-5,62";"";"";"";"";"";"";"-";"";"-101,71";"-66,57";"-50,40";"";"55,14";"55,14";"172,11";"";"19,73";"82,83";"155 154";"2,01";"94";"7,45";"39,92"
"Northstar Espositori per montaggio a parete per montaggio a parete Rack per armi orizzontali e ganci per fucili Conservare qualsiasi fucile Fucile a pompa Legno duro COG: 4,48 / Price: 25,8";"B09J8W13DK";"UG-Y4LX-G244";"6";"";"148,8";"";"-19,76";"-19,76";"";"";"";"";"";"";"-";"";"-63,03";"-38,2";"-26,82";"";"0,99";"0,99";"66,01";"";"0,67";"2,59";"12 893";"13,28";"164";"3,66";"24,80"
"Northstar Stazione di ricarica telefono in legno con cassetto - Organizer da comodino - Organizer da scrivania per marito - Idee regalo di compleanno per uomini, papà, anniversario, portachiavi COG: 10,62 / Price: 42,8";"B0F2T5SPFZ";"PPD004";"5";"1";"214,98";"";"";"";"";"";"";"";"";"20,00";"100";"-26,03";"-63,33";"-53,1";"-31,24";"";"36,38";"36,38";"110,1";"";"16,92";"68,51";"31 273";"";"102";"4,90";"43,00"
"Northstar Docking station per telefono in legno con cassetto, organizer da comodino, organizzatore da scrivania per marito, regalo di compleanno per uomini, papà, idea di compleanno, portachiavi COG: 10,62 / Price: 42,8";"B0F2TDHQ83";"PPD006";"5";"2";"209";"";"-37,15";"-37,15";"";"";"";"";"";"40,00";"";"-71,56";"-81,35";"-53,1";"-22,98";"";"-57,14";"-57,14";"18,94";"";"-27,34";"-107,61";"40 213";"17,78";"176";"2,84";"41,80"
"Tagliere in Legno 30 x 20 - Piatto da Bistecca - Tagliere per Servire Carne - Vassoio in Legno - Tagliere da Cucina - Accessori per Cucina Multiuso (M) COG: 3,5 / Price: 25,99";"B0B1DMS4YK";"KB0001";"5";"1";"129,95";"";"-10,79";"-10,79";"";"";"";"";"";"20,00";"100";"-14,6";"-54,41";"-17,5";"-23,45";"";"9,20";"9,20";"46,65";"";"7,08";"52,57";"166 612";"8,30";"124";"4,03";"25,99"
"Northstar Docking station per cellulare in legno, organizer da comodino, organizer da scrivania per marito, regalo di compleanno per uomini o papà, idea per anniversario, portachiavi, supporto per COG: 0 / Price: 43,25";"B0DHH7P6QQ";"G4-DZI9-VU2J";"4";"";"173";"";"";"";"";"";"";"";"";"";"-";"";"-53,12";"";"-31,20";"";"88,68";"88,68";"119,88";"";"51,26";"";"2 470";"";"87";"4,60";"43,25"
"Northstar Docking Station in Legno Massello di Frassino, Organizer da Comodino per Smartphone, Orologio, Portafoglio | Idea Regalo Uomo/Donna per Natale, Marito, Moglie, Papà (Beige) COG: 6,12 / Price: 34,8";"B08YJ5Y672";"PP0006";"4";"1";"135,48";"";"-14,82";"-14,82";"";"";"";"";"";"25,00";"";"-27,01";"-46,51";"-24,48";"-14,01";"-3,30";"2,88";"2,88";"41,37";"";"2,13";"11,76";"2 470";"10,94";"205";"1,95";"33,87"
"Northstar Stazione di ricarica telefono in legno con cassetto - Organizer da comodino - Organizer da scrivania per marito - Idee regalo di compleanno per uomini, papà, anniversario, portachiavi COG: 10,62 / Price: 41,8";"B0F2T8BPK5";"PPD005";"3";"";"122,05";"";"";"";"";"";"";"";"";"";"-";"";"-43,31";"-31,86";"-15,82";"-4,09";"26,97";"26,97";"74,65";"";"22,10";"84,65";"31 273";"";"92";"3,26";"40,68"
"Northstar Porta fucili a pompa da muro | Supporti a Muro per Fucili | Ganci da muro | Ganci di fissaggio a parete per tutti i fucili | Legno di frassino naturale con gancio in metallo COG: 6,27 / Price: 33,8";"B0BTTHD99C";"AR0008";"3";"";"105,39";"";"-13,51";"-13,51";"";"";"";"";"";"";"-";"";"-39,74";"-18,81";"-19,02";"-3,30";"11,01";"11,01";"48,84";"";"10,45";"58,53";"62 080";"12,82";"93";"3,23";"35,13"
"Regalo da Uomo Supporto per telefono Doppia Docking Station per Telefono con Ganci Natale Regalo da Uomo regalo per Marito Anniversario Regalo per papà Supporto da comodino in noce naturale (Bronzo) COG: 0 / Price: 56,8";"B084G88WDC";"FW-DHFX-U2R4";"1";"";"56,8";"";"";"";"";"";"";"";"";"";"-";"";"-18,06";"";"-10,24";"";"28,50";"28,50";"38,74";"";"50,18";"";"108 142";"";"9";"11,11";"56,80"
"MyFancyCraft Set di 6 tazze da birra da 591 ml, in acciaio inossidabile e legno, regalo fatto a mano per uomo, idea per festa del papà, Natale COG: 39 / Price: 149,8";"B06X9LNZPJ";"OO-A269-AGEC";"1";"";"149,8";"";"";"";"";"";"";"";"";"";"-";"";"-49,84";"-39";"-27,01";"";"33,95";"33,95";"99,96";"";"22,66";"87,05";"140 027";"";"17";"5,88";"149,80"
"Northstar Espositori per Montaggio a Parete per Montaggio a Parete Rack per Armi Orizzontali e Ganci per Fucili Conservare Qualsiasi Fucile Fucile a Pompa Legno Duro Gancio in Metallo (Wenge) COG: 5,85 / Price: 31,8";"B09QMK4HZF";"ARM0001";"1";"";"26,89";"";"";"";"";"";"";"";"";"";"-";"";"-12,72";"-5,85";"";"";"8,32";"8,32";"14,17";"";"30,94";"142,22";"84 368";"";"13";"7,69";"26,89"
"Northstar Docking Station in legno per smartphone Supporto portafoglio Supporto orologio Regalo da uomo Marito Moglie Natale Regalo per papà Supporto da comodino Legno massello in frassino COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"22 800";"";"3";"";""
"MyFancyCraft Boccale da birra in legno, 284 ml, tazza da caffè, boccale da birra in legno, realizzato a mano, regali per uomini, festa del papà, Natale o compleanno, classico, marrone, confezione da 6 COG: 31,8 / Price: 102,68";"B07C779YC5";"S9-ZHU4-EDM5";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";""
"Northstar Espositori per Montaggio a Parete per Montaggio a Parete Rack per Armi Orizzontali e Ganci per Fucili Conservare Qualsiasi Fucile Fucile a Pompa Legno Duro Gancio in Metallo (Wenge) COG: 5,85 / Price: 32,8";"B09QMK4HZF";"ARM001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"84 368";"";"20";"";""
"Holzsteakbrett 30 x 20 Massiv Eiche Servier Grillplatte Naturdicke Schneidplatte - Langlebig & Qualität (Small) COG: 8,85 / Price: 25,49";"B07QS323RP";"5L-OS15-NL0S";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"";""
"Espositori per Montaggio a Parete per Montaggio a Parete Rack per Armi Orizzontali e Ganci per Fucili Conservare Qualsiasi Fucile Fucile a Pompa Legno Duro Design ad albero biforcuto (Wenge) COG: 4,71 / Price: 32,8";"B09QMLXZ27";"ARBI01";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-4,06";"";"";"";"-4,06";"-4,06";"-4,06";"";"";"";"101 537";"";"24";"";""
"Northstar Docking Station in Legno Massello di Frassino - Organizer Smartphone con Ganci Portachiavi, Idea Regalo di Natale per Uomo, Papà e Marito, Wenge COG: 14,05 / Price: 29,8";"B0881MZGCF";"CJ-HT4E-OKZV";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Snijplank van hout, 35 x 25 cm, steakbord, snijplank voor het serveren van vlees, voor burgers, kaas, grill, friet, dienblad van hout, keukenplank, accessoires voor de keuken COG: 0 / Price: 26,8";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Tavola da surf Rack Holder Ganci Albero di Frassino Display Eco-Friendly Finitura Naturale Snowboard Wakeboard Marrone Grande COG: 13,52 / Price: 26,33";"B0BX49F4HG";"AS0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Espositori per montaggio a parete per montaggio a parete Rack per armi orizzontali e ganci per fucili Conservare qualsiasi fucile Fucile a pompa Legno duro COG: 10,14 / Price: 32,8";"B09J8W13DK";"EG-RY08-XTU8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"12 893";"";"11";"";""
"Northstar Espositori per montaggio a parete per montaggio a parete Rack per armi orizzontali e ganci per fucili Conservare qualsiasi fucile Fucile a pompa Legno duro COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"12 893";"";"9";"";""
"Northstar Espositori per montaggio a parete per montaggio a parete Rack per armi orizzontali e ganci per fucili Conservare qualsiasi fucile Fucile a pompa Legno duro COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"12 893";"";"7";"";""
"Amazon.de";"";"";"472";"27";"14 140,96";"-148,84";"-2 369";"-2 369";"";"";"";"";"";"5,72";"26,92";"-684,09";"-3 828,35";"-3 350,42";"-2 081,65";"-152,84";"1 510,87";"1 355,01";"6 888,8";"-155,86";"9,58";"40,44";"161 865";"16,75";"9 084";"5,20";"29,96"
"Northstar Wikinger krug für Bier 0,6 Liter | Bierkrug für Männer | Becher | Maßkrug | Bier Geschenk | Geschenkideen für Männer, Geschenk Vatertag (Braun) COG: 7,44 / Price: 42,16";"B0BRSMB6M9";"BMT003";"66";"3";"2 218,15";"-13,58";"-715,7";"-715,7";"";"";"";"";"";"4,55";"-";"-61,81";"-535,38";"-505,92";"-341,25";"-22,34";"19,74";"19,74";"829,71";"";"0,89";"3,90";"34 566";"32,27";"1 474";"4,48";"33,61"
"Northstar Holz Telefon Dockingstation für Männer – Schreibtisch oder Nachttisch-Organizer Geburtstagsgeschenke für Männer Väter Vatertagsgeschenk für Papa Jubiläumsidee COG: 6,12 / Price: 29,4";"B0FGJXKQFB";"PP0013";"30";"";"973,47";"-3,24";"-358,53";"-358,53";"";"";"";"";"";"";"";"-35,52";"-200";"-214,2";"-153,78";"-19,25";"-16,03";"-16,03";"327,47";"";"-1,65";"-7,48";"30 119";"36,83";"835";"3,59";"32,45"
"Northstar Steak Brett Servierbrett Holz XXL Eichenholz 40x30cm Extragroß - Steak Servierplatte/Steakbrett Schneidebrett aus Massivholz Gross/Holzbrett Küche/Holz Bretter & Küchen Utensilien COG: 6 / Price: 26,16";"B09RX2WX88";"KB0003";"28";"1";"717,77";"-34,78";"-2,16";"-2,16";"";"";"";"";"";"3,57";"";"-19,84";"-221,05";"-174";"-90,34";"-9,77";"165,83";"165,83";"424,17";"";"23,10";"95,30";"135 353";"0,30";"114";"24,56";"25,63"
"Northstar Wikinger Becher 0.6 L Eichenholz Braun - Mittelalter Becher für Bier Tankard Bierkrug Mit Gravur Thors Hammer Runen Ideales Bier Geschenk Maßkrug Holzbecher Vatertagsgeschenk für Papa COG: 7,59 / Price: 31,31";"B0CN1J44VC";"BM0010";"27";"2";"806,29";"-5,87";"-185,72";"-185,72";"";"";"";"";"";"7,41";"25";"-62,69";"-215,27";"-204,93";"-114,29";"-6,60";"10,92";"10,92";"339,03";"";"1,35";"5,33";"34 566";"23,03";"745";"3,62";"29,86"
"Northstar Wikinger Tasse 0,6L – Holz Bierkrug mit Baum des Lebens Gravur – Bier Geschenk, Wikinger Kelch, Mittelalter Becher, Bierkrüge, Geschenk für Bierliebhaber, Vatertagsgeschenk COG: 7,01 / Price: 30,05";"B0CP2C594Q";"BMP0010";"27";"7";"824,45";"-9,09";"-78,97";"-78,97";"";"";"";"";"";"25,93";"50";"-159,22";"-220,8";"-203,29";"-107,39";"-4,19";"41,50";"41,50";"313,77";"";"5,03";"20,41";"34 566";"9,58";"513";"5,26";"30,54"
"Handgefertigter Bierkrug aus Eichenholz Edelstahl Tasse Natürlich Umweltfreundlich 0,6 Liter 20 Unzen Krug Retro braun COG: 6,59 / Price: 28,99";"B01LYB4PKO";"69-YT0R-2WCS";"26";"2";"768,5";"-3,97";"-267,27";"-267,27";"";"";"";"";"";"7,69";"";"-46,21";"-191,24";"-177,93";"-113,54";"-5,42";"-39,59";"-39,59";"238,7";"";"-5,15";"-22,25";"93 285";"34,78";"599";"4,34";"29,56"
"Northstar Holz Telefon Dockingstation & Schreibtisch Organizer mit Handyständer Beige für Büro Aufbewahrung & Organisation Tolle Geschenkideen für Männer Holz Männer Väter COG: 6,12 / Price: 34,4";"B08YJ5Y672";"PP0006";"25";"3";"832,04";"-3,01";"-110,09";"-110,09";"";"";"";"";"";"12,00";"";"-88,17";"-156,78";"-195,84";"-116,78";"";"161,37";"161,37";"431,15";"";"19,39";"82,40";"19 218";"13,23";"513";"4,87";"33,28"
"MyFancyCraft LUKRA Bierbecher aus Eichenholz, handgefertigt, Edelstahlbecher, natürlich und umweltfreundlich, 0,6 l, 20 Unzen Barrel Brown COG: 6,54 / Price: 28,99";"B01LNOBGRM";"3I-GOR9-I5Y7";"22";"";"623,53";"-6,04";"-172,63";"-172,63";"";"";"";"";"";"";"";"-13";"-169,53";"-163,5";"-84,62";"-4,06";"10,15";"10,15";"251,65";"";"1,63";"6,21";"146 067";"27,69";"474";"4,64";"28,34"
"Northstar Wikinger krug für Bier 0,6 Liter | Bierkrug für Männer | Becher | Maßkrug | Bier Geschenk | Geschenkideen für Männer, Geschenk Vatertagsgeschenk für Papa COG: 6,98 / Price: 32,32";"B0CP2KD382";"BMP0011";"20";"";"643,92";"-3,44";"-31,86";"-31,86";"";"";"";"";"";"";"-";"";"-191,17";"-132,62";"-102,96";"";"181,87";"181,87";"424,43";"";"28,24";"137,14";"34 566";"4,95";"467";"4,28";"32,20"
"Northstar Handy Dockingstation & Schreibtisch Organizer Holz mit Handyständer Braun für Büro Aufbewahrung Organisation Schöne Männer Geschenke Geburtstag Herren Weihnachten Vatertagsgeschenk für Papa COG: 6,12 / Price: 34,4";"B08YJR9HDL";"PP0005";"18";"1";"605,25";"";"-92,97";"-92,97";"";"";"";"";"";"5,56";"50";"-12,91";"-155,44";"-110,16";"-97,06";"-2,09";"134,62";"134,62";"347,96";"";"22,24";"122,20";"19 218";"15,36";"651";"2,76";"33,63"
"Northstar Wikinger Tasse 0,6L – Holz Bierkrug mit Baum des Wolfspfoten Gravur – Bier Valentinstag Geschenke Männer Kelch Mittelalter Becher Bierkrüge Geschenk für Bierliebhaber Vatertagsgeschenk Braun COG: 7,01 / Price: 31,31";"B0CN6XQ611";"BMP0009";"18";"4";"552,45";"-1,51";"-20,14";"-20,14";"";"";"";"";"";"22,22";"100";"-88,51";"-134,13";"-147,21";"-68,54";"-4,19";"88,22";"88,22";"261,91";"";"15,97";"59,93";"34 566";"3,65";"337";"5,34";"30,69"
"Northstar Steak Brett Servierbrett Holz Eichenholz 35x25cm Groß - Steak Servierplatte Vesperbrett/Steakbrett Schneidebrett mit Kante/Holzbrett Küche/Holz Bretter & Küchen Utensilien aus Massivholz COG: 4,73 / Price: 21,37";"B08YKGCV8F";"KB0002";"16";"";"411,39";"-18,52";"-5,25";"-5,25";"";"";"";"";"";"";"";"-9,46";"-123,61";"-80,41";"-63,85";"";"110,29";"110,29";"259,28";"";"26,81";"137,16";"135 353";"1,28";"118";"13,56";"25,71"
"Northstar Holz Gewehrhalter Wandhalterung, Wenge Hartholz, 19x13x4,5cm, 2er Set, Für Waffenaufbewahrung & Ausstellung, Langwaffen Halterung COG: 4,71 / Price: 27,8";"B09QMLXZ27";"ARBI01";"16";"";"398,84";"";"-39,33";"-39,33";"";"";"";"";"";"";"-";"";"-114,09";"-80,07";"-63,68";"";"101,67";"101,67";"240,71";"";"25,49";"126,98";"52 413";"9,86";"137";"11,68";"24,93"
"Northstar Holz Telefon Dockingstation Männer Schwarz - Schreibtisch Organizer Holz Handy Schlüssel Organizer Geschenk Mann Männer Geburtstag Handyständer Nachttisch Handy Zubehör COG: 6,12 / Price: 30,66";"B08YJLRHKX";"PP0004";"15";"1";"458,38";"";"-8,1";"-8,1";"";"";"";"";"";"6,67";"";"-27,63";"-122,49";"-97,92";"-58,61";"-12,34";"131,29";"131,29";"281,7";"";"28,64";"134,08";"30 780";"1,77";"223";"6,73";"30,56"
"Northstar Gun Rack Wall Mount Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store All Rifle Shotgun Real Hardwood Tree Metal Hooks (Wenge) COG: 5,85 / Price: 22,99";"B09QMK4HZF";"ARM0001";"15";"";"354,04";"-9,16";"";"";"";"";"";"";"";"";"-";"";"-112,86";"-87,75";"-55,09";"-4,19";"84,99";"84,99";"227,83";"";"24,01";"96,85";"102 947";"";"54";"27,78";"23,60"
"Northstar Steak Brett Servierbrett Holz Eichenholz 30x20cm (Medium) - Steak Servierplatte/Steakbrett Schneidebrett aus Massivholz Massiv/Holzbrett Küche/Vesperbrett Holz & Küchen Utensilien COG: 3,5 / Price: 18,99";"B0B1DMS4YK";"KB0001";"14";"";"294,22";"-23,11";"-6,27";"-6,27";"";"";"";"";"";"";"-";"";"-84,73";"-49";"-43,51";"";"87,60";"87,60";"180,11";"";"29,77";"178,78";"135 353";"2,13";"107";"13,08";"21,02"
"Northstar Holz Telefon Dockingstation Männer - Schreibtisch Organizer Holz, Handy & Schlüssel Organizer,Weihnachten Männer Geschenke Geburtstag, Nachttisch, Schreibtisch Organizer, Telefontisch COG: 12,78 / Price: 29,99";"B07VC6GXYT";"SQ-H3G9-2L92";"13";"2";"350,06";"";"-29,89";"-29,89";"";"";"";"";"";"15,38";"";"-33,84";"-76,36";"-178,92";"-47,62";"-3,24";"-22,32";"-22,32";"178,66";"";"-6,38";"-12,47";"30 780";"8,54";"174";"7,47";"26,93"
"Northstar Handy-Dockingstation aus Holz, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer oder Vater, Idee für Jahrestag, Vatertagsgeschenk für Papa COG: 5,5 / Price: 30,4";"B0DHH7P6QQ";"73-EFLH-T6DR";"11";"";"323,11";"";"-2,04";"-2,04";"";"";"";"";"";"";"-";"";"-86,82";"-60,5";"-49,05";"-13,14";"111,56";"111,56";"221,11";"";"34,53";"184,40";"19 218";"0,63";"142";"7,75";"29,37"
